,word,frequency,han,ham,hun,hende
0,acceptere,200,0.0,0.0,1.0042265080765371,0.0
1,accepterede,32,2.4789881052249,0.0,0.0,5.622482465089852
2,accepterer,64,1.123465402771763,0.0,4.223102332944738,0.0
3,accepteret,63,0.4460665791799567,0.0,0.0,0.0
4,adlyde,37,0.0,3.949399422066509,0.0,0.0
5,adlyder,19,0.0,3.5172660668761835,0.0,0.0
6,adresseret,1,0.0,5.768557865482679,0.0,0.0
7,adskille,14,0.0,0.0,0.0,4.870494784506972
8,adskiller,83,1.2689729864430013,1.3497172576860803,0.0,0.0
9,adskilt,47,0.7390537038614309,0.0,0.0,0.0
10,adskilte,24,1.4111474752235438,0.0,0.0,0.0
11,advarede,18,3.308267460109425,2.878186107586514,0.0,4.6191803562260665
12,advarer,80,2.6050699436959786,0.0,0.0,3.1275254794483494
13,advaret,23,0.0,3.2836512156946784,0.0,0.0
14,afbilde,4,0.0,4.382263504362788,0.0,0.0
15,afbillede,4,0.0,4.382263504362788,0.0,0.0
16,afbilledet,38,0.9516151458451036,2.1309717057562927,0.0,0.0
17,afbrudt,46,0.7605599090823946,0.0,0.0,0.0
18,afbryder,25,1.2933644395671604,0.0,0.0,4.213715248117902
19,afbrød,11,2.7974418363434346,0.0,0.0,5.02464546433423
20,afdækker,10,2.1913060327731193,0.0,0.0,0.0
21,afgav,3,3.4905890169033795,0.0,0.0,0.0
22,afgiver,13,2.7173991286698977,0.0,0.0,0.0
23,afgør,66,0.0,1.5638652460917124,0.0,0.0
24,afgøre,82,0.18248205830723635,0.0,0.0,0.0
25,afgøres,25,0.0,2.4363533553074745,0.0,0.0
26,afhjulpet,3,4.183736197463325,0.0,0.0,0.0
27,afholder,13,0.0,3.2036085080211416,0.0,0.0
28,afholdt,21,1.4981588522131737,0.0,3.2115014212662585,0.0
29,afhænger,242,0.0,1.3782324279941018,0.0,0.0
30,afhængige,204,0.0,1.5490501603065718,0.0,0.0
31,afkræve,6,0.0,3.976798396254624,0.0,0.0
32,aflevere,31,1.1552141010863433,2.3345706609975316,2.8685566701394274,0.0
33,afleverede,12,2.104294655783489,0.0,3.817637224836573,0.0
34,afleverer,8,2.5097597638916542,0.0,0.0,0.0
35,aflyste,2,3.896054125011544,0.0,0.0,0.0
36,aflægger,13,2.0242519481099532,0.0,0.0,0.0
37,afløst,60,0.4948567433493889,2.367360483820523,0.0,0.0
38,afsat,19,0.0,3.5172660668761835,0.0,0.0
39,afskaffede,10,2.286616212577444,0.0,0.0,0.0
40,afskedige,5,0.0,4.159119953048578,0.0,0.0
41,afskedigedes,1,4.589201305571491,0.0,0.0,0.0
42,afskrive,9,0.0,3.5713332881464592,0.0,0.0
43,afskyede,4,3.2029069444515987,0.0,0.0,0.0
44,afskyr,11,2.1913060327731193,0.0,0.0,0.0
45,afskåret,18,0.0,0.0,0.0,4.6191803562260665
46,afslog,4,3.2029069444515987,0.0,0.0,0.0
47,afslutte,16,1.8166125833317084,0.0,0.0,0.0
48,afslutter,33,2.4789881052249,0.0,0.0,0.0
49,afsluttet,35,0.9782833929272652,0.0,0.0,0.0
50,afslår,10,3.3852285012455536,0.0,0.0,0.0
51,afsløre,101,-0.035771507712781765,2.242197340866517,0.0,0.0
52,afslørede,47,1.8376659925295409,0.0,0.0,4.352551692972118
53,afslører,213,2.3966171077917724,2.007357749789116,1.6250530270568564,2.138914085994568
54,afsløres,65,0.4148140356758524,1.594170595587041,0.0,0.0
55,afsløret,136,-0.34527262755920235,0.0,1.3680699414938822,0.0
56,afsone,3,3.4905890169033795,0.0,0.0,0.0
57,afsoner,2,3.896054125011544,0.0,0.0,0.0
58,afspejlet,8,0.0,3.6891163238028426,0.0,0.0
59,afstedkommer,4,3.2029069444515987,0.0,0.0,0.0
60,afstår,17,2.854600250183384,0.0,4.162477711128304,0.0
61,afsætte,2,3.896054125011544,0.0,0.0,0.0
62,afsætter,4,3.2029069444515987,0.0,0.0,0.0
63,afsættes,1,4.589201305571491,0.0,0.0,0.0
64,aftalte,13,2.0242519481099532,0.0,0.0,0.0
65,aftjente,1,4.589201305571491,0.0,0.0,0.0
66,afvise,100,0.0,2.2619999681626966,0.0,0.0
67,afviser,156,2.3119340205617336,2.798143399912977,1.2526878673750368,4.539137648552528
68,afvises,15,0.0,0.0,3.594493673522364,0.0
69,afvist,93,0.7076375076280519,0.0,0.0,0.0
70,afviste,64,3.138368423314028,3.4014342513510623,0.0,4.043816211322504
71,afværge,20,1.5934690320174985,0.0,0.0,0.0
72,agtede,14,2.643291156516176,0.0,0.0,0.0
73,agter,6,3.4905890169033795,0.0,0.0,0.0
74,al,3049,-3.447372104135823,0.0,0.0,0.0
75,alde,2,0.0,5.768557865482679,0.0,0.0
76,alle,17222,-5.174449301776839,-3.9950927418656494,-3.4611067327237546,0.0
77,allerede,1822,0.0,-1.7456967873337317,0.0,0.0
78,altertavle,61,0.39954656354506396,0.0,0.0,0.0
79,anbefalede,5,2.979763393137389,0.0,4.693105962190472,0.0
80,anbefaler,7,2.643291156516176,0.0,0.0,0.0
81,anbringe,11,2.1913060327731193,0.0,0.0,0.0
82,ane,108,-0.10214657665765414,0.0,0.0,0.0
83,anede,59,2.303423330893825,2.3841676021369045,3.6113007918387448,0.0
84,aner,236,1.52326477334425,0.9978732410170138,2.9181536112788,0.0
85,anerkende,60,1.1880039239093343,3.4659727724886333,0.0,0.0
