word,han,ham,hun,hende
],0.0,0.0,0.0,0.0
acceptere,-1.2312028797563357,1.8020739646038872,0.0,0.0
accepterede,2.942515270007277,2.525804568535913,2.7908970785941007,0.0
accepterer,1.6835603312639882,0.0,3.5468451603930764,0.0
adlyde,0.0,3.1223249134067865,0.0,0.0
adlyder,0.0,4.713917465520876,2.7277181769725694,0.0
adlød,2.433865925663882,3.521232620968792,0.0,0.0
adoptere,0.0,3.6688686197748566,0.0,4.6518009229833615
adopteret,1.241727578984949,0.0,0.0,0.0
adskille,0.0,1.7900977735571715,0.0,0.0
adskiller,0.36923946976918665,2.7093691335694645,0.0,0.0
adskilt,0.0,1.3986189074237472,0.0,0.0
adskilte,0.0,1.2545795372008095,0.0,3.336124129077424
advare,0.8976314172530765,1.291850931998041,0.0,0.0
advarede,3.0698546923838785,3.464074207128843,0.0,0.0
advarer,2.460357541110858,0.6573524785196032,1.6155921691377366,3.4320442509561633
advaret,0.7027310782522619,2.8887100622252815,0.0,0.0
ae,0.0,0.0,0.0,6.133405463907576
afbillede,0.0,4.3620158003348015,0.0,0.0
afbilledet,2.008982731698616,2.4032022464435805,0.0,0.0
afbrudt,1.6835603312639882,0.0,0.0,0.0
afbryder,1.5535072030157904,3.7394861869888096,4.004578697046998,0.0
afbrød,2.1760368163617825,3.9565506922266374,3.52849602172488,5.344948103543307
afgav,3.321169120664785,0.0,0.0,0.0
afgive,1.482889635801837,0.0,0.0,0.0
afgjorde,2.271346996166107,0.0,0.0,0.0
afgør,1.1839080080961228,1.8658095952928682,0.0,0.0
afgøre,-0.25438164814214836,0.0,0.0,0.0
afgøres,0.0,1.5181640580735298,0.0,0.0
afhang,0.0,3.0586090990206785,0.0,0.0
afhjælpe,0.0,2.260101402802907,0.0,0.0
afholde,0.0,1.8546362946947428,0.0,0.0
afholder,2.4144478398067806,0.0,0.0,0.0
afholdt,0.0,3.096349427003526,0.0,0.0
afhænger,0.0,2.1033566877986023,0.0,0.0
afhængige,0.0,2.7592989885737786,0.0,0.0
afhængigt,0.0,2.010640543171324,0.0,0.0
afklaret,0.0,0.0,2.812875985312876,0.0
afkræve,0.0,4.680469531453336,0.0,0.0
aflagde,2.433865925663882,0.0,0.0,0.0
aflagt,2.5370501618991126,0.0,0.0,0.0
aflede,0.0,0.0,0.0,6.133405463907576
afledte,3.1876377280402624,0.0,0.0,0.0
aflevere,0.0,2.799097903535594,0.0,0.0
afleverede,0.0,4.051860872030962,4.31695338208915,0.0
afleverer,3.544312671978995,0.0,0.0,0.0
aflive,0.0,3.8695393152370072,0.0,0.0
aflivet,0.0,4.562686495796953,0.0,0.0
aflure,0.0,3.715388635409749,0.0,0.0
aflyste,4.573932089160153,0.0,0.0,0.0
aflægge,0.8244280132297815,1.2186475279747457,0.0,0.0
aflægger,2.4144478398067806,2.4032022464435805,0.0,0.0
aflæse,1.3158355511386708,2.4032022464435805,0.0,0.0
afsagde,3.8807849086002077,0.0,0.0,0.0
afsatte,0.0,4.968151603905118,0.0,0.0
afskaffede,2.008982731698616,0.0,0.0,0.0
afskrev,2.964494176726052,0.0,0.0,0.0
afskyede,2.3767075118239336,0.0,0.0,0.0
afskåret,0.0,2.5702563311067466,0.0,0.0
afslutte,1.7022524642761405,0.0,0.0,0.0
afsluttede,2.008982731698616,0.0,0.0,0.0
afslutter,1.7022524642761405,0.0,0.0,0.0
afsluttes,0.0,1.9236291661816942,0.0,0.0
afsluttet,0.38427734713372713,0.0,0.0,0.0
afsløre,0.24979943290517373,2.5899290967054514,0.0,2.725563539526753
afslørede,2.919373741445583,2.8280854404088465,0.0,3.5233356711655706
afslører,1.1574672353672089,1.9824696662046277,0.6381242638287153,3.70733931414251
afsløres,0.7598894920922106,1.4417910792889557,1.706883589347144,0.0
afsløret,0.030637306890148767,1.5234691103032232,1.3830965122532466,0.0
afsone,2.964494176726052,0.0,0.0,0.0
afsonede,3.8807849086002077,0.0,0.0,0.0
afspejlede,0.0,3.5818572427852264,0.0,0.0
afspejler,0.004389080815212498,2.190368064788232,0.0,0.0
afspejlet,0.0,2.8887100622252815,0.0,0.0
afstedkomme,0.0,3.3587136914710167,0.0,0.0
afstedkommer,2.6280219401048397,0.0,0.0,0.0
afstedkommet,0.0,0.0,4.827779005855141,0.0
afstår,2.6768121042742714,0.0,0.0,0.0
afsætte,0.0,3.176392134677062,0.0,0.0
aftaler,0.5134890786137335,0.0,0.0,0.0
aftvinge,0.0,3.715388635409749,0.0,0.0
afveg,0.0,0.0,5.520926186415086,0.0
afventer,1.9348747595448943,0.0,0.0,0.0
afviger,2.494490547480317,0.0,0.0,0.0
afvise,0.39570604295735,3.2322725930715186,0.0,3.7877608814530843
afvisende,0.33982558456289325,0.0,0.0,0.0
afviser,2.4749459514073466,3.0157689403441865,1.9815784662721136,4.778859801102266
afvises,0.0,1.7900977735571715,2.748337464175305,0.0
afvist,0.42027094978163254,2.0184632688525332,2.465877335704676,3.1837171288549926
afviste,2.7821726199320977,3.715388635409749,3.1695509292516086,4.515999381824299
afvæbnede,2.964494176726052,4.745008052590907,0.0,0.0
agere,0.767269599389833,0.0,0.0,0.0
agerer,0.6226883705787254,0.0,2.6682947565017683,0.0
agtede,2.494490547480317,3.5818572427852264,0.0,0.0
agtelse,1.1727347074979972,0.0,0.0,0.0
